plain_text_def,plain_text_term,gpt-3.5-turbo terms,gpt-4 terms
" (The 1-by-1 algorithm.)
The algorithm is divided into rounds , indexed by k, and each round is divided into steps , indexed by t. At the start of the kth round there is a set A_k⊂ [n] of active vertices and a set D_k⊂ [n] of discarded vertices. We begin with A_1=[n] and D_1=∅. The procedure for the kth round is as follows:


  * At the start of the tth step of the kth round there is a set X_k^t={x_k^1,…,x_k^t}⊂ A_k of trial vertices, a set A_k^t⊂ A_k of active vertices, and a set D_k^t⊂ A_k of discarded vertices. These sets partition A_k, so for all t, A_k is the disjoint union of X_k^t, A_k^t and D_k^t. To begin, we have X_k^0=D_k^0=∅ and A_k^0=A_k. 


  * For t=0, move an arbitrary active vertex to the trial set. That is, set X_k^1={x_k^1}, D_k^1=∅ and A_k^1=A_k^0∖{x_k^1}, 
where x_k^1∈ A_k^0 is arbitrary.

  * For t≥ 1, reveal all edges of G_1^(1) (that is, all red edges from the first sprinkling) between A_k^t and {x_k^t}, and let 

    R_k^t := { x∈ A_k^t  :  xx_k^t∈ E_1^(1)}.

Then, reveal all edges of G_2^(1) (that is, all blue edges from the first sprinkling) between R_k^t and X_k^t, and let 

    B_k^t := { x∈ R_k^t  :  xx_k^s∈ E_2^(1) for some  1≤ s≤ t }.




  * If B_k^t≠∅, then let x_k^t+1 be an arbitrary element of B_k^t. Then set

    X_k^t+1 := X_k^t ∪{x_k^t+1},    A_k^t+1 := A_k^t ∖ R_k^t,   and   D_k^t+1 := D_k^t ∪ R_k^t ∖{x_k^t+1}.

If t≥ (log n)^3/2 then STOP, otherwise set t:=t+1 and go to step (3).

  * If B_k^t=∅, then set

    A_k+1 := A_k ∖ X_k     and     D_k+1 := D_k ∪ X_k.

If

    k ≥n/2(log n)^3/2

then STOP, otherwise set k:=k+1 and t:=1, and go to step (1).

",rounds;steps,active vertices###discarded vertices###trial vertices###rounds###steps###sprinkling###edges###vertices###algorithm###partition###disjoint union###arbitrary###element###STOP###log n###,1-by-1 algorithm###rounds###steps###active vertices###discarded vertices###trial vertices###edges###red edges###blue edges###sprinkling
" (The doubling algorithm.)
At the start of the tth step there is a set X_t of vertices internally spanned by G^(1)∪ G^(2), where |X_t| = x_t. The set X_t is the trial set . The set A_t:=V(G)∖ X_t of remaining vertices in the graph is the active set . The algorithm takes as its inputs the double graphs G^(1) and G^(2), and a set X_0 of size (log n)^3/2, internally spanned by G^(1).


  * At step t≥ 0, reveal all edges of G^(2) between A_t and X_t∖ X_t-1, where we set
X_-1=∅. Let

    B_t := ⋃_v',v”∈ X_t∖ X_t-1{ v∈ A_t  :  vv'∈ E_1^(2) and  vv”∈ E_2^(2)}.

Thus, B_t is the set of active vertices joined to X_t∖ X_t-1 by an edge of each colour from the second sprinkling.

  * If |B_t|≤ x_t then STOP. Otherwise, let C_t⊂ B_t be an arbitrary set of exactly x_t vertices of B_t, and set

    X_t+1 := X_t ∪ C_t,     and     A_t+1 := A_t ∖ C_t.

If |X_t+1|≥ n/16 then STOP, otherwise go to step (1).

",trial set;active set,trial set###active set###double graphs###step###vertices###edges###sprinkling###STOP###arbitrary set###,trial set###active set###B_t###C_t###X_t+1###A_t+1
"
Let a=a_1a_2… a_n be a sequence of non-negative integers. For j ∈ [n-1], we will say that a is decomposable at j if a_j+i≤ i-1 for every i ∈ [n-j]. In this case, we also say that j is a decomposition point .
",decomposition point,decomposable###decomposition point,decomposable at j###decomposition point
"
Let y_1… y_n-ν∈𝒴_1. A point i ∈ [n-2ν] is called a marked point if y_i+t≤ t-1 for all t ∈ [ν]. 
",marked point,marked point###,marked point
"
Let P be a reflexive polytope, a facet F of P is called special , if the sum of all vertices v_1,…,v_k of P is a point within the cone over the facet F, i.e., ∑_i=0^k v_i ∈(F).
",special,special###facet###polytope###reflexive###cone###vertices,special
"
Let G be a 2-edge-colored graph and let C_1=x_0x_1⋯ x_2n-1x_0 and C_2=y_0y_1⋯ y_2m-1y_0 be two vertex disjoint alternating cycles. Let vw be an edge with v∈ V(C_1) and w ∈ V(C_2). If c(vw)=red (resp. c(vw)=blue) we will say that vw, v^rw^r (resp. vw, v^bw^b) is a good pair of edges whenever c(v^rw^r)=red (resp. c(v^bw^b)=blue).

Whenever there is a good pair of edges between two vertex disjoint alternating cycles C_1 and C_2, we simply say that there is a good pair.
",good pair of edges,good pair of edges###good pair###2-edge-colored graph###vertex disjoint alternating cycles###c(vw)###c(v^rw^r)###c(v^bw^b)###red###blue###V(C_1)###V(C_2),good pair of edges###good pair
"


Let G_1 and G_2 be two vertex disjoint  graphs with Hamiltonian alternating cycles C_1=x_0x_1⋯ x_2n-1x_0 and C_2=y_0 y_1 ⋯ y_2m-1 y_0, respectively; G∈ G_1⊕ G_2 be a c.g.s. with no good pair. For each exterior edge u_0v_0, u_0∈ V(C_1) and v_0∈ V(C_2), we construct a sequence of edges as follows: (i) If u_0v_0 is red (blue), let u_1∈ V(C_1) and v_1∈ V(C_2) such that, u_0u_1∈ E(C_1) is red (blue) and v_0v_1∈ E(C_2) is red (blue).
Since G has no good pair, we have that u_1v_1 is blue (red). Observe that u_0v_0 and u_1v_1 have different colors. (ii) Assume that u_0v_0, u_1v_1, …, u_iv_i have been constructed in such a way that u_0, u_1, …, u_i∈ V(C_1), v_0, v_1, …, v_i∈ V(C_2), c(u_jv_j)≠ c(u_j+1v_j+1), c(u_ju_j+1)=c(v_jv_j+1) for each j, 0≤ j ≤ i-1, and the sequence u_0u_1⋯ u_i (resp. v_0v_1⋯ v_i) is a walk (notice that: when l(C_1)≠ l(C_2) a same vertex can appear more than once in this process) contained in C_1 (resp. C_2) that moves along C_1 (resp. C_2)  in the same direction or in the opposite direction (thus, consecutive edges have different colors). (iii) Now, we construct u_i+1v_i+1. If u_iv_i is red (blue), let u_i+1∈ V(C_1) and v_i+1∈ V(C_2) such that u_iu_i+1∈ E(C_1) is red (blue) and v_iv_i+1∈ E(C_2) is red (blue). Since G has no good pair, we have that u_i+1v_i+1 is blue (red). (iv) The sequence finishes the first time that u_kv_k=u_0v_0. That is when k=(2n,2m). Notice that u_iv_i and u_i+1v_i+1 have different colors (and they are different edges), and thus c(u_iv_i)=c(u_jv_j)  if and only if i≡ j 2 (Figure <ref>). 

The parallel class of u_0v_0 denoted by P_u_0v_0 is the set {u_iv_i | 0≤ i≤ k-1} and two exterior edges e_1, e_2 will be named parallel whenever there exists an exterior edge zw such that e_1, e_2 ∈ P_zw.

Since k=(2n,2m), for each vertex w∈ V(C_i), i∈{1,2}, there exists at least one edge in the parallel class P_u_0v_0 incident with w.
",parallel class;parallel,Hamiltonian alternating cycles###vertex disjoint graphs###c.g.s.###good pair###exterior edge###red###blue###sequence of edges###V(C_1)###V(C_2)###u_0###v_0###u_1###v_1###u_i###v_i###c(u_jv_j)###c(u_j+1v_j+1)###j###i###l(C_1)###l(C_2)###k###P_u_0v_0###P_zw###zw###e_1###e_2###P_u_0v_0,Hamiltonian alternating cycles###c.g.s.###good pair###exterior edge###sequence of edges###parallel class###exterior edges###parallel
"
Let ℱ={C_1, C_2} be an alternating cycle factor in a  graph G. A vertex v∈ V(C_i) is red-singular ( blue-singular ) with respect to C_3-i if {vu | u∈ V(C_3-i)} is not empty and all the edges in {vu | u∈ V(C_3-i)} are red (blue); v is singular with respect to C_3-i, if it is either red-singular or blue-singular with respect to C_3-i.

Let ℱ'={C, H} be a factor in a  graph G, where C is an alternating cycle and H is a subgraph. A vertex v∈ V(C) is red-singular ( blue-singular ) with respect to H, if {vu | u∈ V(C_3-i)} is not empty and all the edges in {vu | u∈ V(H)} are red (blue); v is singular with respect to H if it is either red-singular or blue-singular with respect to H.

",red-singular;blue-singular;singular;red-singular;blue-singular;singular,"red-singular, blue-singular, singular###red-singular, blue-singular, singular",red-singular ### blue-singular ### singular
"

Let G_1, G_2, …, G_k be a collection of pairwise vertex disjoint 2-edge-colored graphs, G∈⊕_i=1^k G_i. 
A monochromatic 4-cycle 𝒞= v_0 v_1 v_2 v_3v_0 in G will be called a good cycle when either v_0v_1, v_2v_3 ∈ E_⊕ or v_1v_2, v_3v_0 ∈ E_⊕, or both. This is, when two opposite edges in 𝒞 are exterior.

",good cycle,good cycle###vertex disjoint###2-edge-colored graphs###pairwise###exterior###E⊕###4-cycle,good cycle
"
A quantum c-coloring of a graph G is a collection of d-dimensional orthogonal projectors (v_i : v∈ V(G), i∈ [c] ) where

    ∑_i∈[c] v_i    = I_d   for all vertices v∈ V(G) and       (completeness)
    
      v_i w_i    = 0  for all v ∼ w and all i∈[c].      (orthogonality)
Note that v_iw_i = 0 is equivalent to (v_iw_i) = 0 since these are positive semidefinite operators.
The quantum chromatic number χ_q(G) is the smallest c∈ for which the graph G admits a quantum c-coloring in some dimension d>0 (this is consistent with Qchrom).

",quantum c-coloring;quantum chromatic number,quantum c-coloring###graph G###d-dimensional orthogonal projectors###completeness###orthogonality###quantum chromatic number###Qchrom,quantum c-coloring###quantum chromatic number χ_q(G)
"
A (complex) orthogonal representation of a graph G is an assignment of complex unit vectors of some fixed dimension d to vertices of the graph G where adjacent vertices receive orthogonal vectors. The smallest dimension d in which G admits an orthogonal representation is known as the (complex) orthogonal rank of G and denoted as ξ(G). We say that a d-dimensional orthogonal representation is flat if the entries of all the assigned vectors have the same modulus.

",orthogonal representation;orthogonal rank;flat,orthogonal representation###graph G###complex orthogonal rank###ξ(G)###d-dimensional orthogonal representation###flat,(complex) orthogonal representation ### (complex) orthogonal rank ### flat
"[Definition IV.5 from <cit.>]
  Let B(z) be a function analytic at 0. Then B admits a
    span of d if for some r∈,

    {n∈: [z^n] B(z) ≠ 0 }⊆ r+ d .

If the largest span that B(z) admits is 1, then B is
aperiodic .
",aperiodic,span###d###r###n###B(z)###aperiodic,span of d ### aperiodic
"[Definition VII.3 from <cit.>]
  
  Let B(z) be a function analytic at 0. It is said to belong to
  the smooth inverse-function schema if there exists a function
  ϕ(u) analytic at 0, such that in a neighbourhood of 0,
  
    B(z)= z ϕ(B(z)),

  and ϕ(u) satisfies the following conditions:
  
  
  (H1) The function ϕ(u) is such that
    
    ϕ(0)≠ 0,     [u^n] ϕ(u) ≥ 0,    ϕ(u)≢ϕ_0 + ϕ_1 u.

  
  (H2) Within the open disc of convergence of ϕ at 0,
    |u|<R, there exists a (necessarily unique) positive solution τ∈ (0, R) to
    the characteristic equation ϕ(τ)- τϕ'(τ)=0. 
  
  The schema is said to be aperiodic if ϕ(u) is an
  aperiodic function of u.
",the smooth inverse-function schema;aperiodic,smooth inverse-function schema###analytic###neighbourhood###conditions###function###ϕ(u)###analytic at 0###ϕ(0)###[u^n]###ϕ_0###ϕ_1###u###open disc of convergence###R###positive solution###τ###characteristic equation###aperiodic function###u###,smooth inverse-function schema###aperiodic
"
Let T=(V, E) be a tree on a well ordered set V, |V|=n. Let
C:=∏_x∈ V x^w(x)+1 be a monomial of degree n-1,
where we call w(x)∈{-1,0,1,2,…} a weight of a vertex
x. The total weight of all vertices equals -1.
For each edge e=(x,y)∈ E, x<y, 
consider two connected components of the 
graph T∖ e. The total weight is negative for exactly one of them. 
If this component contains y, call edge e regular , else
call it inversive . Define sign 
(C) as (-1)^{number of inversive edges}.
Call a permutation π of the set V to be C-acceptable if for all edges
e=(x,y), π(x)<π(y)
if and only if e is regular. 
",a weight;regular;inversive;C-acceptable,C###T###V###E###w(x)###x###y###C-acceptable###inversive edges###regular###sign,weight of a vertex###regular###inversive###sign###C-acceptable
"
For a position p in w, we let p denote the parent
of p, which we define to be the unique position t such that
η(t) ≤ p < η(t+1). Also, a child of
a position p is any position q such that q = p.
",parent;child,parent###child,parent of p###child of a position p
"
We say a labelled digraph homomorphism f 𝒜→ℬ is child-bijective if 
f maps children of a to children of f(a) bijectively 
for all vertices a ∈𝒜.
",child-bijective,child-bijective###labelled digraph homomorphism###vertices###bijectively,child-bijective
"
A 0-1 sequence of length n is a bidirectional ballot sequence if every prefix and suffix contains strictly more 1's than 0's. The number of bidirectional ballot sequences of length n is denoted B_n.
",bidirectional ballot sequence,bidirectional ballot sequences###B_n,bidirectional ballot sequence###B_n
"
An atom is a non empty arch system that cannot be written as the concatenation of two non empty arch systems, 
i.e. one that has a single outermost arch. Atoms will generally be denoted by lower case letters. 
The contents of an atom a are the unique arch system, A, such that a is obtained by adding a single arch outside all of A, and we write a = A.
",atom;contents,atom###arch system###concatenation###outermost arch###contents,atom###contents of an atom
"
The classes (A) and (B) are Wilf-equivalent , written (A) (B), if there is a bijection between them that preserves the size of each structure. 
Equivalently, the generating functions F_A of (A) and F_B of (B) are equal.
",Wilf-equivalent,Wilf-equivalent###bijection###size###generating functions###equal,Wilf-equivalent###generating functions F_A###generating functions F_B
"

The binary relation, ∼, on arch systems is the finest equivalence relation that satisfies:

    A ∼ B A∼B
        a ∼ b  PaQ ∼ PbQ 
        PabQ ∼ PbaQ 
        a bc∼ab c .

where A, B, P and Q denote arbitrary arch systems; and a, b and c denote arbitrary atoms or empty arch systems. 
The equivalence classes of ∼ will be called cohorts .
",cohorts,equivalence relation###cohorts,cohorts###binary relation###equivalence relation###arch systems###atoms###empty arch systems
"
For all finite Coxeter groups W and for bipartite of c, the c-bicluster fan is linearly isomorphic to the c-biCambrian fan.
",bipartite,Coxeter groups###bipartite###c-bicluster fan###linearly isomorphic###c-biCambrian fan,c-bicluster fan###c-biCambrian fan
"
For all finite Coxeter groups W, c-bisortable elements for bipartite c are in bijection with pairs of twin c-clusters.
",bipartite,c-bisortable elements###bipartite c###bijection###pairs###twin c-clusters,c-bisortable elements###twin c-clusters
"
For any finite Coxeter group W with simple generators S.

    (W;q)=∑  q^|J|(W_I;q),

where the sum is over all ordered pairs (I,J) of disjoint subsets of S.
",disjoint,Coxeter group###simple generators###ordered pairs###disjoint subsets,Coxeter group W with simple generators S###(W;q)
"
  Let P= :A≤ be a polyhedron. For two vertices ^(1),^(2) of P, we call a sequence ^(1)=^(0),…,^(k)=^(2) a circuit walk of length k if for all i=0,…,k-1 we have


  * ^(i)∈ P,

  * ^(i+1)-^(i)=α_i^(i) for some ^(i)∈(A)  and α_i>0, and

  * ^(i)+α^(i) is infeasible for all α>α_i. 
  
 The circuit distance _(^(1),^(2)) from ^(1) to ^(2) then is the minimum length of a circuit walk from ^(1) to ^(2). 
 The circuit diameter _(P) of P is the maximum circuit distance between any two vertices of P.
",circuit walk of length k;circuit distance;circuit diameter,circuit walk###circuit distance###circuit diameter###polyhedron,circuit walk###circuit distance###circuit diameter
